!12/12/2020.5:44:18.PM
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 1
!TRACE:       ,TRACE.1           
!PARAMETER:   ,S21               
!GRAPH:       ,REAL.IMAG         
!SMOOTHING:   ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,REAL1,IMAG1
1,2.000000000,-2.348508E-002,-1.744400E-002
2,2.060000000,-4.845117E-002,-3.040513E-002
3,2.120000000,-5.392975E-002,-3.224993E-003
4,2.180000000,-4.016595E-002,-6.023283E-003
5,2.240000000,-5.407729E-002,7.445785E-004
6,2.300000000,-5.105463E-002,7.605455E-003
7,2.360000000,-4.940596E-002,1.349322E-002
8,2.420000000,-5.100483E-002,1.621845E-002
9,2.480000000,-4.595243E-002,2.791421E-002
10,2.540000000,-4.898914E-002,3.415336E-002
11,2.600000000,-4.698784E-002,4.313409E-002
12,2.660000000,-3.618658E-002,5.592425E-002
13,2.720000000,-3.205662E-002,6.072346E-002
14,2.780000000,-1.301642E-002,7.036967E-002
15,2.840000000,-2.124644E-003,7.018502E-002
16,2.900000000,1.619053E-002,6.729131E-002
17,2.960000000,2.470936E-002,6.375545E-002
18,3.020000000,3.234834E-002,4.721980E-002
19,3.080000000,4.887232E-002,4.192651E-002
20,3.140000000,4.243792E-002,3.226516E-002
21,3.200000000,4.419281E-002,1.408182E-002
22,3.260000000,4.574612E-002,1.390647E-002
23,3.320000000,4.331295E-002,7.353405E-003
24,3.380000000,4.403181E-002,-3.973756E-003
25,3.440000000,3.819343E-002,-1.017730E-002
26,3.500000000,3.120334E-002,-1.547821E-002
27,3.560000000,2.646827E-002,-1.789981E-002
28,3.620000000,1.994862E-002,-2.043649E-002
29,3.680000000,1.700586E-002,-2.038951E-002
30,3.740000000,1.112584E-002,-1.956845E-002
31,3.800000000,6.125921E-003,-1.869057E-002
32,3.860000000,3.717232E-003,-1.715858E-002
33,3.920000000,-1.007678E-003,-1.287735E-002
34,3.980000000,1.292529E-004,-1.200310E-002
35,4.040000000,-6.504012E-004,-8.845373E-003
36,4.100000000,0.000000E+000,0.000000E+000
37,4.160000000,3.528542E-020,-3.566001E-020
38,4.220000000,0.000000E+000,0.000000E+000
39,4.280000000,1.218359E-021,-4.831368E-020
40,4.340000000,0.000000E+000,0.000000E+000
41,4.400000000,4.524557E-020,-3.139119E-020
42,4.460000000,3.162305E-020,-4.156391E-020
43,4.520000000,7.103734E-020,9.866555E-021
44,4.580000000,-5.802832E-021,-7.642671E-020
45,4.640000000,5.903984E-020,-3.236029E-020
46,4.700000000,0.000000E+000,0.000000E+000
47,4.760000000,2.627793E-020,-7.780454E-020
48,4.820000000,0.000000E+000,0.000000E+000
49,4.880000000,0.000000E+000,0.000000E+000
50,4.940000000,0.000000E+000,0.000000E+000
51,5.000000000,-4.152774E-003,-2.331554E-002
52,5.060000000,-8.263092E-003,-2.432445E-002
53,5.120000000,-1.063546E-002,-2.335164E-002
54,5.180000000,-1.576047E-002,-2.162558E-002
55,5.240000000,-1.955337E-002,-1.954486E-002
56,5.300000000,-2.193294E-002,-1.765925E-002
57,5.360000000,-2.420700E-002,-1.458506E-002
58,5.420000000,-2.714083E-002,-1.075020E-002
59,5.480000000,-2.974391E-002,-6.916072E-003
60,5.540000000,-3.072825E-002,-2.852913E-003
61,5.600000000,-3.212376E-002,1.244016E-003
62,5.660000000,-3.054795E-002,7.175377E-003
63,5.720000000,-2.929731E-002,1.246500E-002
64,5.780000000,-2.856515E-002,1.643925E-002
65,5.840000000,-2.548148E-002,2.077697E-002
66,5.900000000,-2.069933E-002,2.373392E-002
67,5.960000000,-1.689064E-002,2.829970E-002
68,6.020000000,-1.340242E-002,3.132693E-002
69,6.080000000,-8.078379E-003,3.027754E-002
70,6.140000000,-8.881914E-004,3.144761E-002
71,6.200000000,2.598137E-003,3.137157E-002
72,6.260000000,6.676555E-003,3.007214E-002
73,6.320000000,1.030094E-002,2.833014E-002
74,6.380000000,1.601484E-002,2.404976E-002
75,6.440000000,2.224191E-002,2.332364E-002
76,6.500000000,1.935672E-002,1.985919E-002
77,6.560000000,2.597741E-002,1.070091E-002
78,6.620000000,2.917659E-002,8.158632E-003
79,6.680000000,2.510217E-002,2.103956E-003
80,6.740000000,2.228870E-002,-4.184605E-003
81,6.800000000,1.905111E-002,-6.772411E-003
82,6.860000000,1.765226E-002,-8.274530E-003
83,6.920000000,1.396781E-002,-7.516941E-003
84,6.980000000,1.112759E-002,-1.150272E-002
85,7.040000000,9.251043E-003,-1.328983E-002
86,7.100000000,-2.271486E-020,-8.997233E-020
87,7.160000000,0.000000E+000,0.000000E+000
88,7.220000000,7.407626E-020,5.054640E-020
89,7.280000000,7.765508E-020,1.571092E-020
90,7.340000000,0.000000E+000,0.000000E+000
91,7.400000000,-3.134079E-020,-6.539935E-020
92,7.460000000,5.061773E-020,-4.807059E-020
93,7.520000000,2.962015E-020,-6.376270E-020
94,7.580000000,-7.197934E-020,-1.197519E-020
95,7.640000000,0.000000E+000,0.000000E+000
96,7.700000000,-6.638502E-020,3.892078E-020
97,7.760000000,0.000000E+000,0.000000E+000
98,7.820000000,7.095783E-020,2.935806E-020
99,7.880000000,7.364938E-020,6.509640E-021
100,7.940000000,0.000000E+000,0.000000E+000
101,8.000000000,4.098784E-020,7.483645E-020
102,8.060000000,-9.424250E-021,4.710198E-020
103,8.120000000,4.277550E-020,3.471141E-020
104,8.180000000,0.000000E+000,0.000000E+000
105,8.240000000,0.000000E+000,0.000000E+000
106,8.300000000,0.000000E+000,0.000000E+000
107,8.360000000,0.000000E+000,0.000000E+000
108,8.420000000,0.000000E+000,0.000000E+000
109,8.480000000,0.000000E+000,0.000000E+000
110,8.540000000,-3.568887E-020,-5.666755E-020
111,8.600000000,0.000000E+000,0.000000E+000
112,8.660000000,2.322226E-020,-6.398257E-020
113,8.720000000,4.277411E-020,-3.684588E-020
114,8.780000000,-9.308442E-003,-1.482791E-002
115,8.840000000,-1.110028E-002,-1.444866E-002
116,8.900000000,-1.575816E-002,-1.100009E-002
117,8.960000000,-1.708316E-002,-9.141101E-003
118,9.020000000,-1.942559E-002,-2.738932E-003
119,9.080000000,-1.805079E-002,-1.240880E-003
120,9.140000000,-1.596675E-002,2.969729E-003
121,9.200000000,-1.768599E-002,4.614301E-003
122,9.260000000,-1.453102E-002,7.071394E-003
123,9.320000000,-1.342056E-002,9.402333E-003
124,9.380000000,-1.312320E-002,8.779387E-003
125,9.440000000,-9.806798E-003,1.145004E-002
126,9.500000000,-8.433688E-003,1.300056E-002
127,9.560000000,-6.826758E-003,1.323128E-002
128,9.620000000,-4.832049E-003,1.417616E-002
129,9.680000000,-3.325981E-003,1.561159E-002
130,9.740000000,2.298389E-004,1.621755E-002
131,9.800000000,2.445739E-003,1.462751E-002
132,9.860000000,4.790676E-003,1.281441E-002
133,9.920000000,5.346176E-003,1.284625E-002
134,9.980000000,6.109217E-003,1.114323E-002
135,10.040000000,9.877022E-003,1.062691E-002
136,10.100000000,1.026878E-002,8.069371E-003
137,10.160000000,9.177963E-003,4.381523E-003
138,10.220000000,1.048490E-002,4.983007E-003
139,10.280000000,1.000998E-002,3.113591E-003
140,10.340000000,1.032123E-002,1.463256E-003
141,10.400000000,1.021235E-002,1.496957E-003
142,10.460000000,1.055322E-002,-1.249087E-003
143,10.520000000,8.619931E-003,-1.931809E-003
144,10.580000000,8.521231E-003,-2.614001E-003
145,10.640000000,8.345931E-003,-3.954916E-003
146,10.700000000,5.832251E-020,-6.499049E-021
147,10.760000000,0.000000E+000,0.000000E+000
148,10.820000000,4.442741E-020,-3.467583E-020
149,10.880000000,0.000000E+000,0.000000E+000
150,10.940000000,0.000000E+000,0.000000E+000
151,11.000000000,0.000000E+000,0.000000E+000
152,11.060000000,-5.793586E-021,-4.447227E-020
153,11.120000000,0.000000E+000,0.000000E+000
154,11.180000000,0.000000E+000,0.000000E+000
155,11.240000000,-1.148562E-020,-5.081030E-020
156,11.300000000,0.000000E+000,0.000000E+000
157,11.360000000,0.000000E+000,0.000000E+000
158,11.420000000,0.000000E+000,0.000000E+000
159,11.480000000,1.896448E-020,-5.559023E-020
160,11.540000000,0.000000E+000,0.000000E+000
161,11.600000000,6.457464E-020,-1.380721E-020
162,11.660000000,-8.022865E-020,-9.294701E-021
163,11.720000000,0.000000E+000,0.000000E+000
164,11.780000000,0.000000E+000,0.000000E+000
165,11.840000000,0.000000E+000,0.000000E+000
166,11.900000000,3.712394E-020,-5.579134E-020
167,11.960000000,0.000000E+000,0.000000E+000
168,12.020000000,0.000000E+000,0.000000E+000
169,12.080000000,0.000000E+000,0.000000E+000
170,12.140000000,0.000000E+000,0.000000E+000
171,12.200000000,-3.054320E-020,-7.103867E-020
172,12.260000000,0.000000E+000,0.000000E+000
173,12.320000000,-4.076733E-020,5.771315E-020
174,12.380000000,-5.148801E-020,-8.558245E-020
175,12.440000000,0.000000E+000,0.000000E+000
176,12.500000000,-1.936410E-020,5.431116E-020
177,12.560000000,4.107684E-020,5.788342E-020
178,12.620000000,3.042597E-021,5.469509E-020
179,12.680000000,-2.049081E-020,6.502598E-020
180,12.740000000,-6.025509E-020,4.282669E-020
181,12.800000000,0.000000E+000,0.000000E+000
182,12.860000000,-2.184021E-020,6.475229E-020
183,12.920000000,-5.193021E-020,4.136870E-020
184,12.980000000,-6.122706E-020,6.974189E-021
185,13.040000000,-1.981054E-020,5.194588E-020
186,13.100000000,-6.198568E-020,4.570290E-020
187,13.160000000,0.000000E+000,0.000000E+000
188,13.220000000,-3.819283E-020,7.324114E-020
189,13.280000000,0.000000E+000,0.000000E+000
190,13.340000000,0.000000E+000,0.000000E+000
191,13.400000000,-4.256073E-020,9.799932E-020
192,13.460000000,0.000000E+000,0.000000E+000
193,13.520000000,0.000000E+000,0.000000E+000
194,13.580000000,7.515289E-020,7.004999E-021
195,13.640000000,4.675291E-020,4.641899E-020
196,13.700000000,0.000000E+000,0.000000E+000
197,13.760000000,3.685701E-020,1.126320E-019
198,13.820000000,-1.440805E-020,8.560129E-020
199,13.880000000,0.000000E+000,0.000000E+000
200,13.940000000,0.000000E+000,0.000000E+000
201,14.000000000,0.000000E+000,0.000000E+000
