!12/12/2020.7:28:16.PM
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 1
!TRACE:       ,TRACE.1           
!PARAMETER:   ,S21               
!GRAPH:       ,REAL.IMAG         
!SMOOTHING:   ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,REAL1,IMAG1
1,2.000000000,-2.583468E-002,4.640735E-003
2,2.060000000,-3.860981E-002,-1.550385E-002
3,2.120000000,-4.384555E-002,1.001661E-002
4,2.180000000,-2.596763E-002,-1.739500E-003
5,2.240000000,-4.345149E-002,1.855648E-003
6,2.300000000,-3.777549E-002,4.340135E-003
7,2.360000000,-4.741160E-002,1.336832E-002
8,2.420000000,-4.113491E-002,2.008584E-002
9,2.480000000,-3.688798E-002,2.298268E-002
10,2.540000000,-3.572593E-002,3.117229E-002
11,2.600000000,-3.629402E-002,3.056931E-002
12,2.660000000,-3.114485E-002,4.232122E-002
13,2.720000000,-2.781587E-002,4.480873E-002
14,2.780000000,-1.945916E-002,5.132259E-002
15,2.840000000,-1.548277E-002,5.881745E-002
16,2.900000000,1.610658E-003,6.548522E-002
17,2.960000000,1.665507E-002,6.748388E-002
18,3.020000000,3.266292E-002,4.623989E-002
19,3.080000000,3.940105E-002,3.480189E-002
20,3.140000000,2.952171E-002,3.069253E-002
21,3.200000000,3.167257E-002,1.959809E-002
22,3.260000000,3.634631E-002,2.465074E-002
23,3.320000000,3.683808E-002,1.756931E-002
24,3.380000000,4.162742E-002,7.711088E-003
25,3.440000000,3.895674E-002,3.099073E-003
26,3.500000000,3.856215E-002,-3.550184E-003
27,3.560000000,3.520255E-002,-8.410808E-003
28,3.620000000,3.250446E-002,-1.526137E-002
29,3.680000000,3.210963E-002,-2.038191E-002
30,3.740000000,2.158904E-002,-2.580664E-002
31,3.800000000,1.393876E-002,-2.989488E-002
32,3.860000000,5.022298E-003,-2.770974E-002
33,3.920000000,-4.200483E-003,-2.034025E-002
34,3.980000000,-6.330055E-003,-1.613151E-002
35,4.040000000,-7.024362E-003,-9.671088E-003
36,4.100000000,-5.615433E-003,-3.771257E-003
37,4.160000000,0.000000E+000,0.000000E+000
38,4.220000000,-2.163715E-020,4.121608E-020
39,4.280000000,4.824769E-020,1.149733E-021
40,4.340000000,0.000000E+000,0.000000E+000
41,4.400000000,0.000000E+000,0.000000E+000
42,4.460000000,1.335521E-002,-9.954340E-003
43,4.520000000,1.092350E-002,-1.344714E-002
44,4.580000000,1.029678E-002,-1.142647E-002
45,4.640000000,8.174949E-003,-1.644184E-002
46,4.700000000,8.441086E-003,-1.668384E-002
47,4.760000000,7.828184E-003,-1.918481E-002
48,4.820000000,2.988770E-003,-2.182959E-002
49,4.880000000,-3.836000E-004,-2.557449E-002
50,4.940000000,-3.450974E-003,-2.433141E-002
