!12/12/2020.7:26:32.PM
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 1
!TRACE:       ,TRACE.1           
!PARAMETER:   ,S21               
!GRAPH:       ,REAL.IMAG         
!SMOOTHING:   ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,REAL1,IMAG1
1,2.000000000,-2.125966E-002,-4.807588E-003
2,2.060000000,-3.968915E-002,-2.683105E-002
3,2.120000000,-5.040310E-002,2.801895E-004
4,2.180000000,-3.461008E-002,-7.817542E-003
5,2.240000000,-4.938188E-002,1.581371E-003
6,2.300000000,-4.355479E-002,1.752768E-003
7,2.360000000,-5.347484E-002,9.253871E-003
8,2.420000000,-5.231675E-002,1.918162E-002
9,2.480000000,-4.724842E-002,2.624434E-002
10,2.540000000,-4.738577E-002,3.826853E-002
11,2.600000000,-4.511310E-002,4.109178E-002
12,2.660000000,-3.503486E-002,6.029979E-002
13,2.720000000,-2.398955E-002,6.341255E-002
14,2.780000000,-8.620772E-003,6.601923E-002
15,2.840000000,5.302550E-004,6.451415E-002
16,2.900000000,1.526271E-002,6.322785E-002
17,2.960000000,2.472935E-002,6.268382E-002
18,3.020000000,3.584984E-002,4.435964E-002
19,3.080000000,4.472730E-002,3.589802E-002
20,3.140000000,3.920117E-002,3.254175E-002
21,3.200000000,4.554472E-002,1.655423E-002
22,3.260000000,4.969487E-002,1.154840E-002
23,3.320000000,4.438804E-002,2.458608E-003
24,3.380000000,4.050579E-002,-8.669000E-003
25,3.440000000,3.287660E-002,-1.172331E-002
26,3.500000000,3.026781E-002,-1.397893E-002
27,3.560000000,2.578329E-002,-1.877726E-002
28,3.620000000,1.981059E-002,-2.052440E-002
29,3.680000000,1.457133E-002,-1.911871E-002
30,3.740000000,1.001414E-002,-1.723230E-002
31,3.800000000,9.714399E-003,-1.852616E-002
32,3.860000000,4.489144E-003,-1.951478E-002
33,3.920000000,-4.810458E-003,-1.481339E-002
34,3.980000000,-4.919793E-003,-1.109459E-002
35,4.040000000,-4.595495E-020,-3.706717E-021
36,4.100000000,0.000000E+000,0.000000E+000
37,4.160000000,0.000000E+000,0.000000E+000
38,4.220000000,0.000000E+000,0.000000E+000
39,4.280000000,4.828796E-020,1.245712E-021
40,4.340000000,1.428534E-020,4.511524E-020
41,4.400000000,0.000000E+000,0.000000E+000
42,4.460000000,0.000000E+000,0.000000E+000
43,4.520000000,9.865637E-021,-7.107670E-020
44,4.580000000,0.000000E+000,0.000000E+000
45,4.640000000,0.000000E+000,0.000000E+000
46,4.700000000,0.000000E+000,0.000000E+000
47,4.760000000,0.000000E+000,0.000000E+000
48,4.820000000,4.140645E-003,-2.072501E-002
49,4.880000000,-6.051683E-004,-2.431699E-002
50,4.940000000,-2.757807E-003,-2.194337E-002
51,5.000000000,-6.065606E-003,-2.033761E-002
52,5.060000000,-7.106440E-003,-2.301465E-002
53,5.120000000,-1.112591E-002,-2.339625E-002
54,5.180000000,-1.561820E-002,-2.143281E-002
55,5.240000000,-2.061245E-002,-2.025332E-002
56,5.300000000,-2.443527E-002,-1.713040E-002
57,5.360000000,-2.633307E-002,-1.304965E-002
58,5.420000000,-2.878294E-002,-8.519183E-003
59,5.480000000,-3.075437E-002,-4.741031E-003
60,5.540000000,-3.153375E-002,7.688939E-004
61,5.600000000,-3.099646E-002,4.960069E-003
62,5.660000000,-2.905175E-002,9.362959E-003
63,5.720000000,-2.927280E-002,1.347501E-002
64,5.780000000,-2.752793E-002,1.912257E-002
65,5.840000000,-2.460417E-002,2.300732E-002
66,5.900000000,-2.002288E-002,2.661871E-002
67,5.960000000,-1.325036E-002,3.058244E-002
68,6.020000000,-1.150866E-002,3.199835E-002
69,6.080000000,-5.331717E-003,3.063072E-002
70,6.140000000,8.257926E-004,3.222713E-002
71,6.200000000,4.243852E-003,3.196616E-002
72,6.260000000,1.053615E-002,3.103304E-002
73,6.320000000,1.297974E-002,2.812580E-002
74,6.380000000,1.890271E-002,2.325556E-002
75,6.440000000,2.571493E-002,2.134197E-002
76,6.500000000,2.086739E-002,1.698487E-002
77,6.560000000,2.734908E-002,8.884341E-003
78,6.620000000,2.913793E-002,5.232241E-003
79,6.680000000,2.540679E-002,4.566663E-004
80,6.740000000,2.298160E-002,-5.485803E-003
81,6.800000000,1.976839E-002,-9.471847E-003
82,6.860000000,1.766860E-002,-1.156695E-002
83,6.920000000,1.326556E-002,-1.108416E-002
84,6.980000000,7.667198E-003,-1.248018E-002
85,7.040000000,7.793281E-003,-1.255643E-002
