!12/12/2020.7:24:53.PM
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 1
!TRACE:       ,TRACE.1           
!PARAMETER:   ,S21               
!GRAPH:       ,REAL.IMAG         
!SMOOTHING:   ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,REAL1,IMAG1
1,2.000000000,-2.499227E-002,-2.708020E-003
2,2.060000000,-4.477081E-002,-2.186991E-002
3,2.120000000,-5.176399E-002,3.129123E-003
4,2.180000000,-4.034882E-002,-5.824022E-003
5,2.240000000,-6.010449E-002,6.660165E-003
6,2.300000000,-5.050110E-002,1.300444E-002
7,2.360000000,-5.850955E-002,2.165145E-002
8,2.420000000,-6.151709E-002,2.984452E-002
9,2.480000000,-4.692539E-002,5.097711E-002
10,2.540000000,-3.846072E-002,6.167527E-002
11,2.600000000,-2.952742E-002,5.639488E-002
12,2.660000000,-1.466470E-002,6.957287E-002
13,2.720000000,-1.078016E-002,6.904610E-002
14,2.780000000,1.000445E-002,7.056015E-002
15,2.840000000,2.037599E-002,6.642396E-002
16,2.900000000,3.438836E-002,5.888906E-002
17,2.960000000,4.520200E-002,5.886017E-002
18,3.020000000,5.437091E-002,3.639777E-002
19,3.080000000,6.779429E-002,1.646498E-002
20,3.140000000,5.913169E-002,1.062782E-002
21,3.200000000,4.940691E-002,-1.305638E-002
22,3.260000000,4.575773E-002,-1.770038E-002
23,3.320000000,3.697993E-002,-1.898196E-002
24,3.380000000,2.813866E-002,-3.073075E-002
25,3.440000000,1.850205E-002,-3.068391E-002
26,3.500000000,9.422527E-003,-2.914193E-002
27,3.560000000,4.104164E-003,-2.763948E-002
28,3.620000000,-5.546850E-003,-2.362116E-002
29,3.680000000,-1.211004E-002,-1.959157E-002
30,3.740000000,-1.474729E-002,-1.111509E-002
31,3.800000000,-1.641129E-002,2.395970E-004
32,3.860000000,-1.314782E-002,7.227600E-003
33,3.920000000,-8.797730E-004,1.382461E-002
34,3.980000000,5.231707E-003,1.226758E-002
35,4.040000000,1.050549E-002,5.996666E-003
36,4.100000000,1.288447E-002,3.324328E-003
37,4.160000000,1.712569E-002,7.529443E-004
38,4.220000000,1.336902E-002,-7.014037E-003
39,4.280000000,1.154653E-002,-1.149305E-002
40,4.340000000,4.098452E-003,-1.166924E-002
41,4.400000000,2.402265E-003,-7.662683E-003
42,4.460000000,0.000000E+000,0.000000E+000
43,4.520000000,7.134140E-020,1.031978E-020
44,4.580000000,7.654699E-020,-4.597830E-021
45,4.640000000,3.210485E-020,5.898190E-020
